OPER,CUST,B/D#,MODEL,G.UPH
2200,ChipMOS,AAW008Y62017A,MAXUM,1046.9433
2200,MXIC,AAW008Y62017A,MAXUM-PLUS,1026.0556
2200,MXIC,AAW008Y62017A,RAPID,0.0000
2200,MXIC,AAW008Y62017A,ICONN,1359.2180
2200,MXIC,AAW008Y62017A,ICONN-PLUS,1359.2180
2200,MXIC,AAW008Y62017A,MAXUM,1046.9433
2200,MXIC,AAW008Y62017A,MAXUM-CU,0.0000
2200,MXIC,AAW008Y62017A,MAXUM-BASE,1026.0556
2200,ENG,AAW008Y62024A,,0.0000
2200,ENG,AAW008Y62024A,,0.0000
2200,ENG,AAW008Y62024A,,0.0000
2200,ENG,AAW008Y62024A,,0.0000
2200,ENG,AAW008Y62024A,,0.0000
2200,ENG,AAW008Y62024A,,0.0000
2200,ENG,AAW008Y62024A,,0.0000
2200,ENG,AAW008Y62031A,,0.0000
2200,ENG,AAW008Y62031A,,0.0000
2200,ENG,AAW008Y62031A,,0.0000
2200,ENG,AAW008Y62031A,,0.0000
2200,ENG,AAW008Y62031A,,0.0000
2200,ENG,AAW008Y62031A,,0.0000
2200,ENG,AAW008Y62031A,,0.0000
2200,ENG,AAB008Y62016A,,0.0000
2200,ENG,AAB008Y62016A,,0.0000
2200,ENG,AAB008Y62016A,,0.0000
2200,ENG,AAB008Y62016A,,0.0000
2200,ENG,AAB008Y62016A,,0.0000
2200,ENG,AAB008Y62016A,,0.0000
2200,ENG,AAB008Y62016A,,0.0000
2200,ChipMOS,AAB008YB2005A,ICONN,1232.2680
2200,ChipMOS,AAB008YB2005A,MAXUM-PLUS,1164.5050
2200,ChipMOS,AAB008YB2005A,MAXUM-CU,0.0000
2200,ChipMOS,AAB008YB2005A,ICONN-PLUS,1232.2680
2200,ChipMOS,AAB008YB2005A,RAPID,0.0000
2200,ChipMOS,AAB008YB2005A,MAXUM-BASE,929.8860
2200,ChipMOS,AAB008YB2005A,MAXUM,1124.4932
2200,WINBOND,AAB008YB2005A,MAXUM-BASE,929.8860
2200,WINBOND,AAB008YB2005A,MAXUM-PLUS,1164.5050
