bd_id,cust,end_time,entity,lot_number,part_id,part_no,pin_pkg,prod_id,qty,start_time
AMS096EF2001A,MTI,44.000000,BB617,P16MSC504,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AAB054TN1005A,WINBOND,222.000000,BB618,P15ABGR14,1091A07T21,A0803CB0808 ,TSOP2-54ME,054TNAB041,0,0.000000
AAB162KE1002A,WINBOND,320.000000,BB619,P14ABQM08,1091A07T21,A0803CB0818 ,STBGA162B4U,162KEAB004,0,0.000000
ABU078EA1001A,ICSI,598.000000,BB620,P15BUCG02,1091A07C21,A0801CB1021,FBGA-78LEA,078EABU001,0,0.000000
AAB096EL1002A,WINBOND,1489.000000,BB621,P16ABBJ08,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AMS078EN1001A,MTI,610.000000,BB622,P15MSEM04,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AMS048TW1037A,MTI,200.000000,BB623,P15MSFR21,1091A07T41,A0801CB1150,TSOP1-48AM,048TWMS046,0,0.000000
AMS048TW1037A,MTI,0.000000,BB624,P15MSFR01,1091A07T41,A0801CB1150,TSOP1-48AM,048TWMS046,0,0.000000
AAB060NR1004B,WINBOND,1088.000000,BB701,P15ABJB09,1091A07T21,A0803CB0569 ,VFBGA60B4L,060NRAB005,0,0.000000
ABU084CC2001C,ICSI,366.000000,BB702,P15BUCH02,1091A08C21,A0801CB0641,FBGA-84UC(2),084UCBU004,0,0.000000
AAW048TP1008B,MXIC,14427.000000,BB703,P15AWAG39,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AAW048TP1008B,MXIC,217.000000,BB704,P15AWAF31,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AAB060EM2002A,WINBOND,1253.000000,BB705,P15ABIW01,1091A07T21,A0801CB1260,FBGA60UEM2-1,060EMAB003,0,0.000000
AAW064MR1008B,MXIC,281.000000,BB706,P15AWGE03,1091A07T41,A0803CB0746,MBGA64J4U,064MRAW030,0,0.000000
